frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
8,0.2666,-6.5198,179.752,-176.2711,-65.8929,-176.2711,179.752,-3.9769,1.6402,1.3551,177.6646,172.8295,166.5135,174.1498,0.285,-3.9769
9,0.2999,-6.2463,179.6292,-176.367,-65.7402,-176.367,179.6292,-4.0038,1.4719,2.8684,177.3306,174.0426,162.9088,174.4293,-1.3964,-4.0038
10,0.3332,-6.1912,179.9382,-176.6726,-66.7977,-176.6726,179.9382,-3.3892,1.0855,4.4255,176.7991,175.5024,159.5244,174.6025,-3.34,-3.3892
11,0.3666,-6.035,-179.8767,-176.5883,-67.1931,-176.5883,-179.8767,-3.2883,0.9588,5.9023,173.5901,176.4399,156.4766,175.6351,-4.9434,-3.2883
12,0.3999,-6.1054,-179.8175,-176.7542,-68.5661,-176.7542,-179.8175,-3.0633,2.2668,7.3595,171.4188,177.5919,154.5726,177.7915,-5.0927,-3.0633
13,0.4332,-6.0275,-179.8785,-176.6399,-69.3941,-176.6399,-179.8785,-3.2386,3.5469,8.0992,169.0892,178.1296,152.3129,178.7765,-4.5524,-3.2386
14,0.4665,-6.4655,-179.8189,-176.6399,-70.2781,-176.6399,-179.8189,-3.179,4.48,8.3721,167.5097,177.8482,151.3781,179.4302,-3.8921,-3.179
15,0.4999,-6.6932,-179.8799,-176.6588,-70.8065,-176.6588,-179.8799,-3.221,4.6069,8.5095,167.3452,177.6075,152.4862,179.373,-3.9027,-3.221
16,0.5332,-6.9478,-179.7623,-176.6651,-70.5892,-176.6651,-179.7623,-3.0972,4.1765,8.5996,168.8204,177.4375,155.8039,179.9808,-4.4231,-3.0972
17,0.5665,-7.3913,-179.4093,-176.6776,-70.1217,-176.6776,-179.4093,-2.7318,3.2802,8.8607,170.9166,177.1749,156.4911,178.6191,-5.5806,-2.7318
18,0.5998,-7.3913,-179.292,-176.6776,-69.4499,-176.6776,-179.292,-2.6144,2.5375,9.2683,173.3065,177.0622,158.4899,177.8184,-6.7308,-2.6144
19,0.6332,-7.3821,-179.1141,-176.4835,-68.7278,-176.4835,-179.1141,-2.6306,1.3765,9.4972,176.1087,176.5424,159.4877,176.6504,-8.1207,-2.6306
20,0.6665,-6.9926,-179.1141,-176.5029,-68.4963,-176.5029,-179.1141,-2.6111,1.036,9.7752,177.8389,176.437,159.3085,176.4643,-8.7392,-2.6111
21,0.6998,-6.8878,-179.1131,-176.5094,-68.4276,-176.5094,-179.1131,-2.6038,0.4042,10.0018,179.6893,176.6882,161.4479,176.9376,-9.5977,-2.6038
22,0.7331,-6.6439,-179.0579,-176.7265,-68.2621,-176.7265,-179.0579,-2.3314,0.5017,10.1809,178.1749,176.9708,166.0142,176.9881,-9.6792,-2.3314
23,0.7665,-6.0457,-179.0703,-177.0643,-68.1889,-177.0643,-179.0703,-2.006,0.7985,10.1998,177.2892,176.9409,169.7574,177.0722,-9.4013,-2.006
24,0.7998,-5.417,-179.3186,-177.3322,-68.9607,-177.3322,-179.3186,-1.9864,1.9886,10.1543,175.9044,176.9324,171.0727,177.0049,-8.1656,-1.9864
25,0.8331,-4.8971,-179.4925,-177.4664,-69.1755,-177.4664,-179.4925,-2.026,2.8025,10.0989,175.0023,176.8333,171.5414,176.5755,-7.2965,-2.026
