side,stride_number,start_frame,end_frame,duration_s,trunk_sagittal_tilt_deg_mean,trunk_sagittal_tilt_deg_ROM,trunk_sagittal_tilt_deg_std,trunk_lateral_tilt_deg_mean,trunk_lateral_tilt_deg_ROM,trunk_lateral_tilt_deg_std,pelvic_obliquity_deg_mean,pelvic_obliquity_deg_ROM,pelvic_obliquity_deg_std,pelvic_tilt_sagittal_deg_mean,pelvic_tilt_sagittal_deg_ROM,pelvic_tilt_sagittal_deg_std,pelvis_yaw_deg_mean,pelvis_yaw_deg_ROM,pelvis_yaw_deg_std,shoulder_yaw_deg_mean,shoulder_yaw_deg_ROM,shoulder_yaw_deg_std,pelvis_shoulder_dissociation_deg_mean,pelvis_shoulder_dissociation_deg_ROM,pelvis_shoulder_dissociation_deg_std,hip_flex_R_deg_mean,hip_flex_R_deg_ROM,hip_flex_R_deg_std,hip_flex_L_deg_mean,hip_flex_L_deg_ROM,hip_flex_L_deg_std,knee_flex_R_deg_mean,knee_flex_R_deg_ROM,knee_flex_R_deg_std,knee_flex_L_deg_mean,knee_flex_L_deg_ROM,knee_flex_L_deg_std,ankle_dorsi_R_deg_mean,ankle_dorsi_R_deg_ROM,ankle_dorsi_R_deg_std,ankle_dorsi_L_deg_mean,ankle_dorsi_L_deg_ROM,ankle_dorsi_L_deg_std,hip_rotation_index_deg_mean,hip_rotation_index_deg_ROM,hip_rotation_index_deg_std,shoulder_rotation_index_deg_mean,shoulder_rotation_index_deg_ROM,shoulder_rotation_index_deg_std,trunk_sagittal_tilt_deg_at_midstance,trunk_lateral_tilt_deg_at_midstance,pelvic_obliquity_deg_at_midstance,pelvic_tilt_sagittal_deg_at_midstance,pelvis_yaw_deg_at_midstance,shoulder_yaw_deg_at_midstance,pelvis_shoulder_dissociation_deg_at_midstance,hip_flex_R_deg_at_midstance,hip_flex_L_deg_at_midstance,knee_flex_R_deg_at_midstance,knee_flex_L_deg_at_midstance,ankle_dorsi_R_deg_at_midstance,ankle_dorsi_L_deg_at_midstance,hip_rotation_index_deg_at_midstance,shoulder_rotation_index_deg_at_midstance
L,1,14,47,1.1,-6.9326,6.3502,2.1736,-102.5309,434.5985,132.638,-176.4057,2.2815,0.8363,-68.0014,7.8047,2.2721,-176.4057,2.2815,0.8363,-102.5309,434.5985,132.638,-2.4889,1.6903,0.4357,3.9993,8.509,2.3076,6.683,6.7168,1.9019,175.3065,8.6056,2.5539,174.7343,7.1696,2.5497,168.8757,6.8213,1.9756,174.3751,8.7948,2.5778,-2.6837,11.8027,3.2267,-2.4889,1.6903,0.4357,-6.4129,-179.1026,-176.8151,-68.3594,-176.8151,-179.1026,-2.2875,0.7383,10.1929,178.1249,176.8594,165.7546,176.7198,-9.4546,-2.2875
L,2,47,77,1.0,-8.1576,3.774,1.2332,-178.1449,1.2787,0.4231,-176.533,1.0385,0.2597,-68.3092,5.3531,1.7311,-176.533,1.0385,0.2597,-178.1449,1.2787,0.4231,-1.6118,1.5209,0.4854,3.8476,6.1241,2.1718,5.2249,7.8731,2.6717,174.9384,5.0196,1.6979,172.8506,14.474,4.4971,175.7874,10.7843,3.2698,170.5959,14.7355,4.8738,-1.3773,13.5189,4.593,-1.6118,1.5209,0.4854,-8.4374,-177.6335,-176.2902,-67.9954,-176.2902,-177.6335,-1.3433,2.2331,8.5338,175.2493,172.6271,171.6995,169.0581,-6.3007,-1.3433
L,3,77,110,1.1,-6.6829,3.0761,1.1295,-178.3992,0.9039,0.2407,-177.0902,0.8676,0.2948,-61.8085,14.8831,4.9302,-177.0902,0.8676,0.2948,-178.3992,0.9039,0.2407,-1.309,1.0384,0.3426,4.0333,5.3226,1.7907,6.0983,8.3265,2.8007,174.5838,8.7643,2.6336,173.2341,13.1009,3.6727,174.6611,10.3377,2.8117,170.8106,16.96,4.5195,-2.065,13.6163,4.0661,-1.309,1.0384,0.3426,-7.2051,-177.9317,-177.2325,-68.2194,-177.2325,-177.9317,-0.6992,2.1746,9.5282,173.4966,174.4387,176.4734,171.2333,-7.3536,-0.6992
L,4,110,145,1.1667,-7.097,6.0566,2.044,-178.7692,1.2748,0.4019,-177.5883,2.5806,0.8622,-59.9958,13.0321,3.7308,-177.5883,2.5806,0.8622,-178.7692,1.2748,0.4019,-1.181,3.1744,0.9323,4.5754,7.9634,2.5678,4.9993,9.2524,3.2952,172.5579,8.7743,2.8809,172.2517,16.1327,4.472,173.0407,16.1742,5.4427,166.2829,18.4942,4.9598,-0.4239,17.1787,5.6331,-1.181,3.1744,0.9323,-7.0576,-178.3204,-177.4934,-55.6079,-177.4934,-178.3204,-0.8271,0.8125,9.6639,176.3251,173.7413,177.7127,168.7939,-8.8515,-0.8271
L,5,145,174,0.9667,-8.846,7.2078,2.9049,-178.0003,3.752,1.2084,-176.6094,1.8185,0.6752,-64.8965,7.1318,2.3304,-176.6094,1.8185,0.6752,-178.0003,3.752,1.2084,-1.391,2.5363,0.6527,3.3831,8.1267,2.7551,2.733,9.2777,2.7426,174.0683,6.4953,2.0114,168.1151,16.8126,4.6714,173.5618,12.8383,3.7658,164.4528,20.5636,6.1744,0.6502,15.1317,4.3158,-1.391,2.5363,0.6527,-6.4834,-178.1431,-177.0265,-66.7183,-177.0265,-178.1431,-1.1167,0.0109,9.6091,174.4758,172.7765,176.3047,161.4782,-9.5982,-1.1167
L,6,174,195,0.7,-10.2516,2.4977,0.9628,-175.9397,2.7793,1.0991,-176.4964,0.7129,0.2374,-64.4271,6.3041,2.279,-176.4964,0.7129,0.2374,-175.9397,2.7793,1.0991,0.5567,2.532,0.9454,4.3426,6.4013,1.91,3.1647,3.3265,1.2686,170.8329,11.72,4.2049,167.8261,3.2084,1.19,168.512,26.4726,9.4637,139.7384,60.0768,25.7862,1.0974,7.0836,2.554,0.5567,2.532,0.9454,-11.7429,-175.4843,-176.3012,-65.9456,-176.3012,-175.4843,0.8168,5.0704,4.5296,177.5485,167.309,174.2563,161.7484,0.5408,0.8168
L,7,195,221,0.8667,-11.8589,4.7189,1.6315,-175.7246,1.6534,0.4826,-95.0527,416.4171,143.2292,-63.83,8.1638,2.237,-95.0527,416.4171,143.2292,-175.7246,1.6534,0.4826,2.405,5.4755,1.7161,,,,,,,,,,,,,,,,,,,,,,2.405,5.4755,1.7161,-11.6126,-176.4422,-176.6943,-63.1942,-176.6943,-176.4422,0.2521,,,,,,,,0.2521
L,8,221,256,1.1667,-21.6612,23.5216,8.2763,-39.5938,407.9753,136.9035,138.4492,168.0722,64.2764,-55.8621,28.7814,5.673,138.4492,168.0722,64.2764,-39.5938,407.9753,136.9035,-3.1858,46.8606,14.5148,,,,,,,,,,,,,,,,,,,,,,-3.1858,46.8606,14.5148,,,,,,,,,,,,,,,
L,9,256,286,1.0,-10.1437,38.0941,10.7201,3.239,11.383,2.8547,2.2111,11.7536,2.6415,-11.4696,59.683,17.6725,2.2111,11.7536,2.6415,3.239,11.383,2.8547,1.0279,4.3456,1.4545,,,,,,,,,,,,,,,,,,,,,,1.0279,4.3456,1.4545,-18.5323,2.3991,0.3657,-24.1187,0.3657,2.3991,2.0335,,,,,,,,2.0335
L,10,286,352,2.2,-1.8201,7.0736,1.4428,1.9486,4.4765,1.3645,0.9552,4.1256,1.1557,-33.6274,23.693,5.7511,0.9552,4.1256,1.1557,1.9486,4.4765,1.3645,0.9935,4.3556,1.0533,,,,6.0523,9.2921,2.8011,,,,168.017,4.4157,1.1071,,,,62.9111,18.4307,13.0325,,,,0.9935,4.3556,1.0533,-1.4499,0.1841,-1.0121,-33.7419,-1.0121,0.1841,1.1962,,3.7118,,168.4428,,,,1.1962
