frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
8,0.2666,0.5869,0.594,0.6021,0.6968,0.5672,0.6896,0.6011,0.564
9,0.2999,0.5875,0.5937,0.6019,0.6973,0.5672,0.6899,0.6007,0.5629
10,0.3332,0.5883,0.5932,0.6019,0.6973,0.5672,0.6899,0.6006,0.5618
11,0.3666,0.5897,0.5931,0.6018,0.6971,0.5677,0.6896,0.5999,0.5615
12,0.3999,0.5908,0.5931,0.6018,0.6974,0.5679,0.6884,0.599,0.5609
13,0.4332,0.5918,0.5932,0.6018,0.6979,0.5685,0.6872,0.5986,0.5605
14,0.4665,0.5925,0.5932,0.6017,0.6984,0.5689,0.6871,0.5977,0.5604
15,0.4999,0.5929,0.5932,0.6017,0.699,0.5694,0.6889,0.5976,0.5612
16,0.5332,0.5933,0.593,0.6016,0.6996,0.5695,0.6928,0.5977,0.5626
17,0.5665,0.5935,0.593,0.6011,0.6999,0.5695,0.6972,0.5975,0.5627
18,0.5998,0.594,0.5931,0.6007,0.7,0.5692,0.7012,0.5972,0.5627
19,0.6332,0.5943,0.5932,0.6002,0.7006,0.5688,0.7048,0.5969,0.5624
20,0.6665,0.5947,0.5936,0.6001,0.701,0.5679,0.7084,0.5968,0.562
21,0.6998,0.5947,0.5941,0.6,0.7014,0.5672,0.7104,0.5966,0.5617
22,0.7331,0.5947,0.5945,0.6,0.7014,0.5667,0.7107,0.5966,0.5618
23,0.7665,0.5945,0.595,0.6,0.7014,0.566,0.7109,0.5965,0.5618
24,0.7998,0.5938,0.5951,0.6,0.7015,0.5657,0.7112,0.5965,0.5618
25,0.8331,0.5933,0.5955,0.6,0.7015,0.5656,0.7114,0.5966,0.5618
26,0.8664,0.5924,0.5963,0.6,0.7018,0.5655,0.7117,0.5966,0.5619
27,0.8998,0.5915,0.5964,0.6001,0.7014,0.5654,0.7116,0.5964,0.5619
28,0.9331,0.591,0.5965,0.6003,0.7011,0.5653,0.7115,0.5964,0.562
29,0.9664,0.5906,0.5965,0.6006,0.6996,0.5653,0.7115,0.5964,0.5621
30,0.9997,0.5899,0.5971,0.6012,0.6986,0.5653,0.7115,0.5968,0.5622
31,1.0331,0.5896,0.5979,0.6017,0.6985,0.5653,0.7115,0.5979,0.5624
32,1.0664,0.5893,0.5986,0.6022,0.7014,0.5653,0.7119,0.6003,0.5624
33,1.0997,0.5893,0.5991,0.6037,0.7061,0.5655,0.712,0.6029,0.5624
34,1.133,0.5893,0.5991,0.6057,0.7115,0.5657,0.7125,0.6056,0.5623
35,1.1664,0.5897,0.5993,0.6086,0.7174,0.5658,0.7135,0.6122,0.5622
36,1.1997,0.5905,0.5991,0.6115,0.721,0.5659,0.714,0.6133,0.5624
37,1.233,0.5919,0.5994,0.6139,0.7233,0.5659,0.7143,0.6134,0.5624
38,1.2663,0.5942,0.6,0.6153,0.7254,0.5658,0.7142,0.6139,0.5624
39,1.2997,0.5963,0.6003,0.6157,0.726,0.5658,0.7141,0.6139,0.5625
40,1.333,0.5981,0.6011,0.6164,0.7264,0.5659,0.7138,0.6139,0.5625
41,1.3663,0.6003,0.6024,0.6171,0.7261,0.566,0.7135,0.6144,0.5625
42,1.3996,0.6026,0.6029,0.6169,0.7267,0.5663,0.7127,0.6144,0.5625
43,1.433,0.6052,0.6032,0.6167,0.7267,0.5673,0.7105,0.6149,0.5626
44,1.4663,0.6068,0.6034,0.6171,0.7263,0.568,0.7091,0.6148,0.5626
45,1.4996,0.6075,0.6036,0.6173,0.7267,0.5691,0.7082,0.6147,0.5626
46,1.5329,0.6076,0.6039,0.6173,0.7271,0.5717,0.7083,0.6146,0.5644
47,1.5663,0.6081,0.6039,0.6173,0.7268,0.5738,0.7126,0.6145,0.5689
48,1.5996,0.6083,0.6039,0.6176,0.7266,0.576,0.7179,0.6147,0.5733
49,1.6329,0.6085,0.6044,0.6176,0.7265,0.577,0.7233,0.6147,0.5752
50,1.6662,0.6088,0.6049,0.6176,0.7274,0.5785,0.7299,0.6149,0.5743
